profile_id,algorithm,run,fitness,time_s,target_cal,achieved_cal,cal_penalty,days_cal_ok,days_macro_ok,hard_constraints_ok,allergy_violations,dislike_violations,likes_included
2,GA,15,3029.5683962968496,9.304290294647217,2567.85,2569.57,0.0,7,6,True,0,0,18
2,GA,16,3016.1470507753115,9.430550813674927,2567.85,2567.57,0.0,7,6,True,0,0,17
2,GA,17,3257.15,9.160119771957397,2567.85,2568.14,0.0,7,7,True,0,0,12
2,GA,18,3357.4500000000003,9.172407865524292,2567.85,2567.57,0.0,7,7,True,0,1,11
2,GA,19,3158.4500000000003,9.274992942810059,2567.85,2568.29,0.0,7,7,True,0,2,16
2,GA,20,3307.85,8.991436243057251,2567.85,2566.86,0.0,7,7,True,0,2,13
2,GA,21,3261.15,9.149333000183105,2567.85,2566.71,0.0,7,7,True,0,1,13
2,GA,22,3121.5499999999997,9.197093963623047,2567.85,2564.86,0.0,7,7,True,0,2,17
2,GA,23,3227.7500000000005,9.34941029548645,2567.85,2571.0,0.0,7,7,True,0,1,14
2,GA,24,3158.8946374874704,9.422790765762329,2567.85,2575.57,0.0,7,6,True,0,0,15
2,GA,25,3256.4500000000003,8.769396543502808,2567.85,2568.29,0.0,7,7,True,0,0,12
2,GA,26,3254.4500000000003,9.0118989944458,2567.85,2568.0,0.0,7,7,True,0,1,13
2,GA,27,3301.15,9.279985666275024,2567.85,2561.0,0.0,7,7,True,0,1,13
2,GA,28,3157.15,9.142985582351685,2567.85,2567.86,0.0,7,7,True,0,1,15
2,GA,29,3158.4500000000003,9.17500901222229,2567.85,2568.29,0.0,7,7,True,0,1,15
2,GA,30,3165.85,9.230750322341919,2567.85,2569.14,0.0,7,7,True,0,0,14
2,ACO,1,2880.4500000000003,70.91263890266418,2567.85,2570.0,0.0,7,7,True,0,0,20
2,ACO,2,2893.5499999999997,69.02227830886841,2567.85,2562.86,0.0,7,7,True,0,0,20
